airport_ref,airport_ident,length_ft,width_ft,lighted,closed
6761,04FL,3000.0,100.0,0,0
6762,04I,2382.0,120.0,1,0
6763,04IA,2310.0,84.0,0,0
6764,04ID,3000.0,25.0,0,0
6765,04II,1372.0,72.0,0,0
6766,04IL,1700.0,70.0,0,0
45410,04IN,4000.0,1000.0,0,0
6767,04IS,2200.0,150.0,0,0
6768,04KS,400.0,60.0,0,0
6769,04KY,1700.0,30.0,0,0
6770,04LA,40.0,40.0,1,0
6771,04LL,3700.0,70.0,0,0
6772,04LS,60.0,60.0,0,0
6773,04MA,2100.0,300.0,0,0
6774,04MD,50.0,50.0,1,0
6775,04ME,1950.0,120.0,0,0
6776,04MI,2000.0,100.0,0,0
6777,04MN,2500.0,150.0,0,0
6778,04MO,2600.0,150.0,0,0
6779,04MS,3400.0,100.0,0,0
6780,04MT,2100.0,100.0,0,0
6780,04MT,1900.0,100.0,0,0
6781,04NC,91.0,35.0,0,0
6782,04NE,2500.0,100.0,0,0
6783,04NJ,3500.0,50.0,1,0
347887,04NR,78.0,36.0,0,0
6784,04NV,3240.0,45.0,1,0
6785,04NY,5200.0,50.0,0,0
45733,04OG,50.0,100.0,0,0
6786,04OH,2200.0,70.0,0,0
6787,04OK,45.0,45.0,0,0
6789,04PA,100.0,100.0,0,0
6790,04PN,70.0,70.0,0,0
6791,04SC,50.0,50.0,0,0
325773,04SD,46.0,46.0,0,0
6792,04TA,60.0,40.0,0,0
6793,04TE,30.0,30.0,0,0
6794,04TN,3000.0,50.0,0,0
6795,04TS,20.0,20.0,0,0
342438,04TT,4645.0,55.0,0,0
6796,04TX,2000.0,50.0,0,0
6797,04UT,3700.0,50.0,0,0
6798,04V,7745.0,55.0,0,0
6799,04VA,50.0,50.0,1,0
6800,04VG,3500.0,80.0,0,0
6800,04VG,1800.0,70.0,0,0
6801,04VT,1300.0,40.0,0,0
6802,04W,2751.0,75.0,1,0
6803,04WA,1800.0,60.0,0,0
6804,04WI,1800.0,100.0,0,0
45903,04WN,4100.0,60.0,0,0
6805,04WV,40.0,40.0,0,0
6806,04XS,80.0,60.0,0,0
6807,05AK,2000.0,75.0,0,0
6808,05AL,1600.0,50.0,0,0
6808,05AL,1600.0,50.0,0,0
6808,05AL,1600.0,50.0,0,0
6808,05AL,1600.0,50.0,0,0
6808,05AL,1600.0,50.0,0,0
6808,05AL,1600.0,50.0,0,0
45302,05AR,2000.0,100.0,0,0
6809,05AZ,40.0,40.0,0,0
6810,05B,4000.0,200.0,0,0
6811,05CA,78.0,78.0,0,0
6812,05CL,3700.0,60.0,1,0
6813,05CO,2650.0,60.0,0,0
6814,05CT,50.0,50.0,0,0
6815,05FA,2950.0,100.0,0,0
6816,05FD,95.0,95.0,0,0
6817,05FL,3200.0,60.0,0,0
6817,05FL,1600.0,50.0,0,0
6818,05GA,2200.0,60.0,0,0
6819,05IA,2450.0,65.0,0,0
6820,05ID,2000.0,70.0,0,0
6821,05II,1800.0,100.0,0,0
6822,05IL,3200.0,70.0,0,0
6823,05IN,2000.0,100.0,0,0
6824,05IS,2000.0,100.0,0,0
6825,05KS,2350.0,50.0,0,0
346026,05KT,600.0,50.0,0,0
6826,05KY,1270.0,150.0,0,0
6827,05LA,2200.0,70.0,0,0
6828,05LL,120.0,120.0,0,0
6829,05LS,2300.0,100.0,0,0
6831,05MA,100.0,40.0,0,0
6832,05MD,2700.0,80.0,0,0
6833,05ME,900.0,40.0,0,0
6834,05MO,30.0,30.0,0,0
6835,05MS,40.0,40.0,1,0
6836,05NC,40.0,40.0,1,0
6837,05NE,3210.0,80.0,0,0
6838,05NH,100.0,100.0,0,0
6839,05NJ,60.0,60.0,1,0
6840,05NY,75.0,75.0,0,0
347917,05OG,50.0,50.0,1,0
6841,05OI,2000.0,100.0,0,0
6842,05OK,2200.0,90.0,0,0
6843,05OR,2600.0,50.0,0,0
6843,05OR,75.0,75.0,0,0
6844,05PA,70.0,70.0,0,0
6845,05PN,120.0,120.0,0,0
6846,05PS,2319.0,100.0,0,0
6847,05S,2940.0,45.0,0,0
6848,05TA,1700.0,40.0,0,0
6849,05TE,1500.0,50.0,0,0
6851,05TS,1700.0,90.0,0,0
6852,05TX,2075.0,50.0,0,0
6853,05UT,3950.0,50.0,0,0
6854,05V,6160.0,52.0,0,0
6855,05VA,2000.0,40.0,0,0
6856,05VT,80.0,80.0,0,0
6857,05WA,40.0,40.0,0,0
6858,05WI,1800.0,60.0,0,0
45907,05WN,1700.0,50.0,0,0
6859,05XS,2600.0,100.0,0,0
6860,05Y,3280.0,200.0,1,0
45272,06AK,2000.0,40.0,0,0
6861,06AL,1600.0,75.0,0,0
6861,06AL,1600.0,75.0,0,0
6861,06AL,1600.0,75.0,0,0
6861,06AL,1600.0,75.0,0,0
6861,06AL,1600.0,75.0,0,0
6861,06AL,1600.0,75.0,0,0
6861,06AL,1600.0,75.0,0,0
6862,06AR,2900.0,125.0,1,0
6863,06AZ,80.0,80.0,1,0
6864,06B,15000.0,4000.0,0,0
6865,06CA,20.0,20.0,0,0
6866,06CL,46.0,46.0,1,0
6867,06CO,4500.0,75.0,0,0
6868,06FA,7003.0,150.0,1,0
6869,06FD,3400.0,120.0,0,0
6870,06FL,200.0,100.0,0,0
6871,06GA,300.0,300.0,0,0
6872,06I,16000.0,3500.0,0,0
6873,06IA,1750.0,100.0,0,0
6874,06ID,2200.0,80.0,0,0
6875,06IL,2580.0,70.0,0,0
6876,06IN,1600.0,75.0,0,0
6877,06IS,2600.0,70.0,0,0
6878,06KS,25.0,25.0,0,0
6879,06KY,60.0,60.0,0,0
6880,06LA,39.0,39.0,0,0
6881,06LL,40.0,40.0,0,0
6882,06LS,40.0,40.0,0,0
6883,06MA,15.0,15.0,0,0
