ident,type,name,latitude_deg,longitude_deg,continent,iso_region,municipality,iata_code,airport_ref,airport_ident,lighted,closed,elevacion,longitud_pista,ancho_pista
VEAT,medium_airport,Agartala - Maharaja Bir Bikram Airport,23.886999,91.240402,AS,IN-TR,Agartala,IXA,0.0,0,0.0,0.0,150.92,0.0,0.0
VEBD,medium_airport,Bagdogra Airport,26.68120002746582,88.32859802246094,AS,IN-WB,Siliguri,IXB,0.0,0,0.0,0.0,1351.71,0.0,0.0
VEBG,small_airport,Balurghat Airport,25.261699676513672,88.79560089111328,AS,IN-WB,Balurghat,RGH,0.0,0,0.0,0.0,255.91,0.0,0.0
VEBI,medium_airport,Shillong Airport,25.70359992980957,91.97869873046876,AS,IN-ML,Shillong,SHL,0.0,0,0.0,0.0,9547.24,0.0,0.0
VEBS,medium_airport,Biju Patnaik Airport,20.2444000244,85.8178024292,AS,IN-OR,Bhubaneswar,BBI,0.0,0,0.0,0.0,452.76,0.0,0.0
VECC,large_airport,Netaji Subhash Chandra Bose International Airport,22.654699325561523,88.44670104980469,AS,IN-WB,Kolkata,CCU,0.0,0,0.0,0.0,52.49,0.0,0.0
VEDG,medium_airport,Kazi Nazrul Islam Airport,23.6225,87.243,AS,IN-WB,Durgapur,RDP,0.0,0,0.0,0.0,984.25,0.0,0.0
VEDZ,small_airport,Daporijo Airport,27.985500335700003,94.22280120850002,AS,IN-AR,Daporijo,DEP,0.0,0,0.0,0.0,2460.63,0.0,0.0
VEGK,medium_airport,Gorakhpur Airport,26.739700317399997,83.44969940189999,AS,IN-UP,Gorakhpur,GOP,0.0,0,0.0,0.0,849.74,0.0,0.0
VEGT,medium_airport,Lokpriya Gopinath Bordoloi International Airport,26.10610008239746,91.58589935302734,AS,IN-AS,Guwahati,GAU,0.0,0,0.0,0.0,531.5,0.0,0.0
VEIM,medium_airport,Imphal Airport,24.760000228899997,93.896697998,AS,IN-MN,Imphal,IMF,0.0,0,0.0,0.0,8333.33,0.0,0.0
VEJP,small_airport,Jeypore Airport,18.8799991607666,82.552001953125,AS,IN-OR,Jeypore,PYB,0.0,0,0.0,0.0,6404.2,0.0,0.0
VEJS,medium_airport,Sonari Airport,22.813786,86.169739,AS,IN-JH,Jamshedpur,IXW,0.0,0,0.0,0.0,1558.4,0.0,0.0
VEJT,medium_airport,Jorhat Airport,26.7315006256,94.1754989624,AS,IN-AS,Jorhat,JRH,0.0,0,0.0,0.0,1020.34,0.0,0.0
VEKM,small_airport,Kamalpur Airport,24.134325,91.810769,AS,IN-TR,Manik Bhandar,IXQ,0.0,0,0.0,0.0,429.79,0.0,0.0
VEKR,medium_airport,Kailashahar Airport,24.308657,92.00768000000001,AS,IN-TR,Kailashahar,IXH,0.0,0,0.0,0.0,259.19,0.0,0.0
VEKU,medium_airport,Silchar Airport,24.912900924699997,92.97869873049999,AS,IN-AS,Silchar,IXS,0.0,0,0.0,0.0,1154.86,0.0,0.0
VEKW,small_airport,Khowai Airport,24.061899,91.603897,AS,IN-TR,Khowai,IXN,0.0,0,0.0,0.0,311.68,0.0,0.0
VELP,medium_airport,Lengpui Airport,23.840598999999997,92.619698,AS,IN-MZ,Aizawl (Lengpui),AJL,0.0,0,0.0,0.0,4586.61,0.0,0.0
VELR,medium_airport,North Lakhimpur Airport,27.295499801635746,94.09760284423828,AS,IN-AS,Lilabari,IXI,0.0,0,0.0,0.0,1082.68,0.0,0.0
VEMH,small_airport,Malda Airport,25.011,88.12700000000001,AS,IN-WB,Malda,LDA,0.0,0,0.0,0.0,259.19,0.0,0.0
VEMN,medium_airport,Dibrugarh Airport,27.4839000702,95.01689910889999,AS,IN-AS,Dibrugarh,DIB,0.0,0,0.0,0.0,1187.66,0.0,0.0
VEMR,medium_airport,Dimapur Airport,25.883899688699998,93.77110290530001,AS,IN-NL,Dimapur,DMU,0.0,0,0.0,0.0,1597.77,0.0,0.0
VEPG,small_airport,Pasighat Airport,28.06609916687012,95.33560180664062,AS,IN-AR,Pasighat,IXT,0.0,0,0.0,0.0,1564.96,0.0,0.0
VEPT,medium_airport,Lok Nayak Jayaprakash Airport,25.591299056999997,85.08799743649999,AS,IN-BR,Patna,PAT,0.0,0,0.0,0.0,557.74,0.0,0.0
VERC,medium_airport,Birsa Munda Airport,23.314300537100006,85.3217010498,AS,IN-JH,Ranchi,IXR,0.0,0,0.0,0.0,7047.24,0.0,0.0
VEVZ,small_airport,Visakhapatnam Airport,17.721201,83.224503,AS,IN-AP,Visakhapatnam,VTZ,0.0,0,0.0,0.0,49.21,0.0,0.0
VEZO,medium_airport,Ziro Airport,27.588301,93.828102,AS,IN-AR,Ziro,ZER,0.0,0,0.0,0.0,17726.38,0.0,0.0
VGBR,medium_airport,Barisal Airport,22.80100059509277,90.30120086669922,AS,BD-1,Barisal,BZL,0.0,0,0.0,0.0,75.46,0.0,0.0
VGCB,medium_airport,Cox's Bazar Airport,21.452199935913086,91.96389770507812,AS,BD-2,Cox's Bazar,CXB,0.0,0,0.0,0.0,39.37,0.0,0.0
VGCM,small_airport,Comilla Airport,23.43720054626465,91.189697265625,AS,BD-2,Comilla,CLA,0.0,0,0.0,0.0,82.02,0.0,0.0
VGEG,medium_airport,Shah Amanat International Airport,22.249599,91.813301,AS,BD-2,Chattogram (Chittagong),CGP,0.0,0,0.0,0.0,39.37,0.0,0.0
VGIS,medium_airport,Ishurdi Airport,24.15250015258789,89.04940032958984,AS,BD-5,Ishurdi,IRD,0.0,0,0.0,0.0,147.64,0.0,0.0
VGJR,medium_airport,Jessore Airport,23.1838,89.160797,AS,BD-4,Jashore (Jessore),JSR,0.0,0,0.0,0.0,65.62,0.0,0.0
VGRJ,medium_airport,Shah Mokhdum Airport,24.43720054626465,88.61650085449219,AS,BD-5,Rajshahi,RJH,0.0,0,0.0,0.0,209.97,0.0,0.0
VGSD,medium_airport,Saidpur Airport,25.75919914245605,88.90889739990234,AS,BD-5,Saidpur,SPD,0.0,0,0.0,0.0,410.1,0.0,0.0
VGSG,small_airport,Thakurgaon Airport,26.016399383544922,88.40360260009766,AS,BD-5,Thakurgaon,TKR,0.0,0,0.0,0.0,577.43,0.0,0.0
VGSH,small_airport,Shamshernagar Airport,24.398332999999997,91.916944,AS,BD-6,Shamshernagar,ZHM,0.0,0,0.0,0.0,183.73,0.0,0.0
VGSY,medium_airport,Osmany International Airport,24.963832,91.86484300000001,AS,BD-6,Sylhet,ZYL,0.0,0,0.0,0.0,164.04,0.0,0.0
VGZR,large_airport,Hazrat Shahjalal International Airport,23.843347,90.39778299999999,AS,BD-3,Dhaka,DAC,0.0,0,0.0,0.0,98.43,0.0,0.0
VHHH,large_airport,Hong Kong International Airport,22.308901000000002,113.915001,AS,HK-U-A,Hong Kong,HKG,0.0,0,0.0,0.0,91.86,0.0,0.0
VHHX,closed,Hong Kong International Airport Kai Tak,22.320304,114.198074,AS,HK-U-A,"Kowloon City, Kowloon",HKG,0.0,0,0.0,0.0,91.86,0.0,0.0
VHST,heliport,Shun Tak Heliport,22.288868,114.152369,AS,HK-U-A,"Central and Western, Hong Kong Island",HHP,0.0,0,0.0,0.0,351.05,0.0,0.0
VIAG,medium_airport,Agra Airport / Agra Air Force Station,27.157683000000002,77.960942,AS,IN-UP,Agra,AGR,0.0,0,0.0,0.0,1807.74,0.0,0.0
VIAL,medium_airport,Allahabad Airport,25.4401,81.733902,AS,IN-UP,Allahabad,IXD,0.0,0,0.0,0.0,1056.43,0.0,0.0
VIAR,medium_airport,Sri Guru Ram Dass Jee International Airport,31.7096,74.797302,AS,IN-PB,Amritsar,ATQ,0.0,0,0.0,0.0,2480.32,0.0,0.0
VIAX,small_airport,Adampur Airport,31.4338,75.758797,AS,IN-PB,Adampur,AIP,0.0,0,0.0,0.0,2542.65,0.0,0.0
VIBK,medium_airport,Nal Airport,28.070600509643555,73.20719909667969,AS,IN-RJ,Bikaner,BKB,0.0,0,0.0,0.0,2460.63,0.0,0.0
VIBN,medium_airport,Lal Bahadur Shastri Airport,25.452129,82.861805,AS,IN-UP,Varanasi,VNS,0.0,0,0.0,0.0,872.7,0.0,0.0
VIBR,medium_airport,Kullu Manali Airport,31.876699,77.154404,AS,IN-HP,Bhuntar,KUU,0.0,0,0.0,0.0,11722.44,0.0,0.0
VIBY,medium_airport,Bareilly Air Force Station,28.4221000671,79.45079803470001,AS,IN-UP,Bareilly,BEK,0.0,0,0.0,0.0,1902.89,0.0,0.0
