ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_region,municipality,iata_code
ULH,medium_airport,Majeed Bin Abdulaziz Airport,26.48,38.1288888889,2050.0,AS,SA-03,Al Ula,ULH
ULKK,medium_airport,Kotlas Airport,61.235801696777344,46.6974983215332,184.0,EU,RU-ARK,Kotlas,KSZ
ULLI,large_airport,Pulkovo Airport,59.80030059814453,30.26250076293945,78.0,EU,RU-SPE,St. Petersburg,LED
ULMK,small_airport,Kirovsk-Apatity Airport,67.46330261230469,33.58829879760742,515.0,EU,RU-MUR,Apatity,KVK
ULMM,medium_airport,Murmansk Airport,68.78170013427734,32.75080108642578,266.0,EU,RU-MUR,Murmansk,MMK
ULNN,closed,Novgorod Airport,58.49330139160156,31.24169921875,85.0,EU,RU-NGR,Velikiy Novgorod,NVR
ULOL,medium_airport,Velikiye Luki Airport,56.38109970092773,30.60810089111328,328.0,EU,RU-PSK,Velikiye Luki,VLU
ULOO,medium_airport,Pskov Airport,57.78390121459961,28.39559936523437,154.0,EU,RU-PSK,Pskov,PKV
ULPB,medium_airport,Petrozavodsk Airport,61.88520050048828,34.15470123291016,151.0,EU,RU-KR,Petrozavodsk,PES
ULWW,medium_airport,Vologda Airport,59.28250122070313,39.94440078735352,387.0,EU,RU-VLG,Vologda,VGD
UMBB,medium_airport,Brest Airport,52.108299,23.8981,468.0,EU,BY-BR,Brest,BQT
UMGG,medium_airport,Gomel Airport,52.5270004272461,31.016700744628906,472.0,EU,BY-HO,Gomel,GME
UMII,medium_airport,Vitebsk Vostochny Airport,55.126499176025,30.349599838257,682.0,EU,BY-VI,Vitebsk,VTB
UMKK,medium_airport,Khrabrovo Airport,54.88999938964844,20.592599868774414,42.0,EU,RU-KGD,Kaliningrad,KGD
UMMG,medium_airport,Hrodna Airport,53.60200119018555,24.053800582885746,443.0,EU,BY-HR,Hrodna,GNA
UMMM,closed,Minsk 1 Airport,53.864498,27.5397,748.0,EU,BY-MI,Minsk,MHP
UMMS,large_airport,Minsk National Airport,53.888071,28.039964,670.0,EU,BY-MI,Minsk,MSQ
UMOO,medium_airport,Mogilev Airport,53.95489883422852,30.09510040283203,637.0,EU,BY-MA,Mogilev,MVQ
UNAA,medium_airport,Abakan International Airport,53.740002000000004,91.385002,831.0,EU,RU-KK,Abakan,ABA
UNBB,medium_airport,Barnaul Airport,53.36380004882813,83.53849792480469,837.0,AS,RU-ALT,Barnaul,BAX
UNBG,medium_airport,Gorno-Altaysk Airport,51.969204,85.836539,965.0,EU,RU-AL,Gorno-Altaysk,RGK
UNEE,medium_airport,Kemerovo Airport,55.27009963989258,86.1072006225586,863.0,AS,RU-KEM,Kemerovo,KEJ
UNII,medium_airport,Yeniseysk Airport,58.47420120239258,92.1125030517578,253.0,AS,RU-KYA,Yeniseysk,EIE
UNIP,medium_airport,Podkamennaya Tunguska Airport,61.589698999999996,89.994003,213.0,EU,RU-KYA,Bor,TGP
UNKL,large_airport,Krasnoyarsk International Airport,56.173077,92.492437,942.0,EU,RU-KYA,Krasnoyarsk,KJA
UNKS,medium_airport,Achinsk Airport,56.269185,90.57511,1033.0,EU,RU-KYA,Achinsk,ACS
UNKY,medium_airport,Kyzyl Airport,51.66939926147461,94.40059661865234,2123.0,AS,RU-TY,Kyzyl,KYZ
UNNT,large_airport,Novosibirsk Tolmachevo Airport,55.01975600000001,82.618675,365.0,EU,RU-NVS,Novosibirsk,OVB
UNOO,medium_airport,Omsk Central Airport,54.96699905395508,73.31050109863281,311.0,AS,RU-OMS,Omsk,OMS
UNSS,medium_airport,Strezhevoy Airport,60.709400177,77.66000366210002,164.0,AS,RU-TOM,Strezhevoy,SWT
UNTT,medium_airport,Bogashevo Airport,56.380298614502,85.208297729492,597.0,AS,RU-TOM,Tomsk,TOF
UNWW,medium_airport,Spichenkovo Airport,53.811401000000004,86.877197,1024.0,EU,RU-KEM,Novokuznetsk,NOZ
UODD,medium_airport,Dikson Airport,73.51780700683594,80.37966918945312,47.0,AS,RU-KYA,Dikson,DKS
UOHH,medium_airport,Khatanga Airport,71.97810363769531,102.49099731445312,95.0,AS,RU-KYA,Khatanga,HTG
UOII,medium_airport,Igarka Airport,67.43720245361328,86.62190246582031,82.0,AS,RU-KYA,Igarka,IAA
UOOO,medium_airport,Norilsk-Alykel Airport,69.31109619140625,87.33219909667969,574.0,AS,RU-KYA,Norilsk,NSK
UOTT,small_airport,Turukhansk Airport,65.797203064,87.93530273440001,128.0,AS,RU-KYA,Turukhansk,THX
